"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test updates an existing booking and verifies the response.","626","Test Update Booking","","Sat Jul 27 21:38:06 MSK 2024","passed","Sat Jul 27 21:38:07 MSK 2024","","Booking Update Suite","",""
"This test creates a new booking and verifies the response.","664","Create Booking","","Sat Jul 27 21:38:04 MSK 2024","passed","Sat Jul 27 21:38:04 MSK 2024","","Create Booking","",""
"This test attempts to partially update a booking without a token and verifies the response.","617","Negative Partial Update Booking without Token","","Sat Jul 27 21:38:09 MSK 2024","passed","Sat Jul 27 21:38:09 MSK 2024","","Partial Booking Update","",""
"This test partially updates an existing booking and verifies the response.","613","Partial Update Booking","","Sat Jul 27 21:38:07 MSK 2024","passed","Sat Jul 27 21:38:08 MSK 2024","","Partial Booking Update","",""
"This test checks the health status of the RESTful Booker service by calling the ping endpoint","1187","Health Check Endpoint","","Sat Jul 27 21:38:01 MSK 2024","passed","Sat Jul 27 21:38:03 MSK 2024","","Ping tests","",""
"This test deletes a booking by ID and verifies the response.","632","Delete Booking by ID","","Sat Jul 27 21:38:09 MSK 2024","passed","Sat Jul 27 21:38:10 MSK 2024","","Delete Booking","",""
"This test attempts to update a booking with an invalid token and verifies the response.","629","Test Negative Update Booking","","Sat Jul 27 21:38:07 MSK 2024","passed","Sat Jul 27 21:38:07 MSK 2024","","Booking Update Suite","",""
"This test creates an authentication token using valid credentials and verifies the response.","871","Create Authentication Token","","Sat Jul 27 21:38:03 MSK 2024","passed","Sat Jul 27 21:38:04 MSK 2024","","Create Token Booking Suite","",""
"This test verifies that the endpoint for retrieving all bookings returns a successful response with a non-empty list.","802","Get all bookings","","Sat Jul 27 21:38:04 MSK 2024","passed","Sat Jul 27 21:38:05 MSK 2024",""," Get Bookings suite","",""
"This test verifies that the endpoint for retrieving a specific booking by ID returns the expected data structure and values.","634","Get booking by ID","","Sat Jul 27 21:38:05 MSK 2024","passed","Sat Jul 27 21:38:06 MSK 2024","","Get Bookings","",""
"This test attempts to partially update a booking with an invalid token and verifies the response.","638","Negative Partial Update Booking with Invalid Token","","Sat Jul 27 21:38:08 MSK 2024","passed","Sat Jul 27 21:38:09 MSK 2024","","Partial Booking Update","",""
